Time(s),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s)
3.36,25.4967,12.9371,0.00250609,14326.4,6707.68,0.431383
3.37,25.4968,12.9271,0.00257628,14326.3,6702.22,0.434465
3.38,25.4967,12.9171,0.00249377,14326.7,6696.53,0.525328
3.39,25.4967,12.9071,0.00253295,14326.7,6690.85,0.524809
3.4,25.4968,12.8971,0.00263115,14326.3,6685.66,0.457497
3.41,25.4967,12.887,0.00264929,14326.8,6679.3,0.134218
3.42,25.4967,12.877,0.00256514,14326.4,6673.87,0.432034
3.43,25.4967,12.867,0.00252591,14326.4,6668.4,0.44514
3.44,25.4967,12.857,0.00252654,14326.5,6662.89,0.725077
3.45,25.4968,12.847,0.00260316,14326.4,6657.33,0.634852
3.46,25.4967,12.8371,0.00256273,14326.7,6651.9,0.191468
3.47,25.4968,12.827,0.00250721,14326.6,6646.12,0.49232
3.48,25.4967,12.817,0.00255036,14326.4,6640.39,0.324064
3.49,25.4966,12.8071,0.00248255,14326.4,6634.47,0.539158
3.5,25.4968,12.7971,0.00251436,14326.6,6629.04,0.744256
3.51,25.4967,12.7869,0.0025461,14326.7,6623.31,0.665397
3.52,25.4967,12.7771,0.00244894,14326.4,6617.87,0.388768
3.53,25.4968,12.767,0.00260444,14326.6,6612.4,0.515396
3.54,25.4966,12.757,0.00251031,14326.2,6606.61,0.470191
3.55,25.4968,12.7471,0.00258099,14326.3,6600.99,0.623351
3.56,25.4967,12.737,0.00248289,14326.5,6595.26,0.396867
3.57,25.4967,12.727,0.00252614,14326.2,6589.73,0.481121
3.58,25.4967,12.717,0.00259198,14326.5,6584.07,0.428384
3.59,25.4968,12.707,0.00248915,14326.4,6578.43,0.362273
3.6,25.4968,12.697,0.00252218,14326.5,6572.59,0.564422
3.61,25.4967,12.6871,0.00257615,14326.5,6567.17,0.493203
3.62,25.4968,12.677,0.00258123,14326.3,6561.6,0.415504
3.63,25.4967,12.6671,0.00256196,14326.2,6556.03,0.594049
3.64,25.4967,12.657,0.00254106,14326.3,6550.65,0.442133
3.65,25.4967,12.647,0.00253582,14326.4,6544.82,0.581751
3.66,25.4967,12.637,0.00256817,14326.6,6539.15,0.662145
3.67,25.4967,12.627,0.00249847,14326.5,6533.39,0.376314
3.68,25.4967,12.6171,0.00252412,14326.6,6527.84,0.802304
3.69,25.4967,12.6071,0.00251153,14326.5,6521.84,0.699886
3.7,25.4967,12.597,0.00261682,14326.5,6516.48,0.271258
3.71,25.4967,12.5871,0.00246503,14326.8,6511.12,0.477906
3.72,25.4967,12.577,0.00251575,14326.3,6505.28,0.465154
3.73,25.4967,12.567,0.00260556,14326.3,6500.05,0.781397
3.74,25.4968,12.5571,0.0024916,14326.4,6494.24,0.826403
3.75,25.4967,12.5471,0.00259843,14326.6,6488.7,0.713324
3.76,25.4967,12.5369,0.00265417,14326.3,6482.93,0.619084
3.77,25.4967,12.527,0.00255541,14326.2,6477.35,0.530116
3.78,25.4967,12.517,0.00256856,14326.3,6471.76,0.56123
3.79,25.4967,12.507,0.00257581,14326.3,6466.07,0.926587
3.8,25.4967,12.497,0.00260333,14326.3,6460.64,0.40425
3.81,25.4967,12.4869,0.00246987,14326.4,6454.79,0.869959
3.82,25.4967,12.477,0.00260906,14326.3,6449.07,0.498851
3.83,25.4966,12.467,0.00246524,14326.2,6443.38,0.245897
3.84,25.4966,12.457,0.00256404,14326.5,6437.8,0.290125
3.85,25.4966,12.447,0.00256213,14326.6,6432.45,0.337136
3.86,25.4967,12.437,0.00256922,14326.2,6426.83,0.318066
3.87,25.4967,12.427,0.00259307,14326.6,6421.18,0.708428
3.88,25.4967,12.417,0.00265126,14326,6415.4,0.493554
3.89,25.4967,12.4069,0.00254149,14326.4,6409.91,0.50188
3.9,25.4967,12.397,0.00253832,14326.4,6404.24,0.576658
3.91,25.4968,12.387,0.00245955,14326.2,6398.67,0.667974
3.92,25.4966,12.377,0.00263886,14326.4,6393.32,0.311811
3.93,25.4967,12.367,0.00253473,14326.7,6387.32,0.489095
